Tiempo;Desplazamiento;Desplazamiento por tracción;Fuerza;Deformación por tracción (Deformación 1);Esfuerzo de tracción
(s);(mm);(mm);(N);(%);(MPa)
"0,0000";"0,0041";"0,0001";"-0,0136";"0,0002";"-0,0003"
"0,0060";"0,0041";"0,0001";"0,0133";"0,0002";"0,0003"
"0,0120";"0,0042";"0,0001";"0,0260";"0,0002";"0,0006"
"0,0180";"0,0043";"0,0001";"0,0127";"0,0002";"0,0003"
"0,0240";"0,0044";"0,0001";"-0,0095";"0,0002";"-0,0002"
"0,0300";"0,0047";"0,0001";"-0,0058";"0,0002";"-0,0001"
"0,0360";"0,0050";"0,0001";"0,0463";"0,0002";"0,0011"
"0,0420";"0,0054";"0,0002";"0,1536";"0,0003";"0,0035"
"0,0480";"0,0058";"0,0002";"0,2390";"0,0005";"0,0055"
"0,0540";"0,0063";"0,0003";"0,3469";"0,0006";"0,0080"
"0,0600";"0,0068";"0,0004";"0,5154";"0,0009";"0,0118"
"0,0660";"0,0074";"0,0006";"0,7029";"0,0012";"0,0162"
"0,0720";"0,0080";"0,0008";"0,9131";"0,0016";"0,0210"
"0,0780";"0,0086";"0,0010";"1,1648";"0,0020";"0,0268"
"0,0840";"0,0093";"0,0012";"1,4947";"0,0025";"0,0344"
"0,0900";"0,0099";"0,0015";"1,8967";"0,0030";"0,0436"
"0,0960";"0,0106";"0,0018";"2,3041";"0,0036";"0,0530"
"0,1020";"0,0112";"0,0021";"2,7143";"0,0042";"0,0624"
"0,1080";"0,0118";"0,0024";"3,1169";"0,0047";"0,0717"
"0,1140";"0,0125";"0,0027";"3,5176";"0,0054";"0,0809"
"0,1200";"0,0131";"0,0030";"3,9603";"0,0060";"0,0911"
"0,1260";"0,0137";"0,0033";"4,4328";"0,0066";"0,1019"
"0,1320";"0,0143";"0,0036";"4,8717";"0,0072";"0,1120"
"0,1380";"0,0149";"0,0039";"5,2898";"0,0078";"0,1216"
"0,1440";"0,0156";"0,0042";"5,6925";"0,0084";"0,1309"
"0,1500";"0,0161";"0,0045";"6,0430";"0,0090";"0,1389"
"0,1560";"0,0167";"0,0048";"6,3888";"0,0097";"0,1469"
"0,1620";"0,0173";"0,0051";"6,7646";"0,0103";"0,1555"
"0,1680";"0,0178";"0,0054";"7,1774";"0,0109";"0,1650"
"0,1740";"0,0184";"0,0057";"7,6140";"0,0114";"0,1751"
"0,1800";"0,0189";"0,0060";"8,0544";"0,0120";"0,1852"
"0,1860";"0,0194";"0,0063";"8,4822";"0,0126";"0,1950"
"0,1920";"0,0200";"0,0066";"8,8630";"0,0131";"0,2038"
"0,1980";"0,0205";"0,0068";"9,2620";"0,0136";"0,2129"
"0,2040";"0,0210";"0,0071";"9,6642";"0,0141";"0,2222"
"0,2100";"0,0215";"0,0073";"10,0520";"0,0146";"0,2311"
"0,2160";"0,0220";"0,0075";"10,4044";"0,0151";"0,2392"
"0,2220";"0,0226";"0,0078";"10,7031";"0,0156";"0,2461"
"0,2280";"0,0231";"0,0080";"11,0047";"0,0161";"0,2530"
"0,2340";"0,0236";"0,0083";"11,3151";"0,0166";"0,2602"
"0,2400";"0,0241";"0,0086";"11,6025";"0,0171";"0,2668"
"0,2460";"0,0246";"0,0088";"11,8892";"0,0177";"0,2734"
"0,2520";"0,0252";"0,0091";"12,1837";"0,0182";"0,2801"
"0,2580";"0,0257";"0,0093";"12,4731";"0,0187";"0,2868"
"0,2640";"0,0262";"0,0096";"12,7969";"0,0192";"0,2942"
"0,2700";"0,0267";"0,0099";"13,1323";"0,0197";"0,3019"
"0,2760";"0,0272";"0,0101";"13,4671";"0,0202";"0,3096"
"0,2820";"0,0277";"0,0103";"13,8152";"0,0207";"0,3176"
"0,2880";"0,0282";"0,0106";"14,1716";"0,0212";"0,3258"
"0,2940";"0,0288";"0,0108";"14,5240";"0,0216";"0,3339"
"0,3000";"0,0292";"0,0111";"14,9208";"0,0221";"0,3431"
"0,3060";"0,0297";"0,0113";"15,2956";"0,0226";"0,3517"
"0,3120";"0,0302";"0,0115";"15,6268";"0,0231";"0,3593"
"0,3180";"0,0307";"0,0118";"15,9625";"0,0236";"0,3670"
"0,3240";"0,0312";"0,0120";"16,2990";"0,0240";"0,3747"
"0,3300";"0,0317";"0,0122";"16,6110";"0,0245";"0,3819"
"0,3360";"0,0322";"0,0124";"16,8870";"0,0249";"0,3883"
"0,3420";"0,0327";"0,0127";"17,1478";"0,0254";"0,3943"
"0,3480";"0,0332";"0,0129";"17,4127";"0,0258";"0,4003"
"0,3540";"0,0336";"0,0132";"17,7064";"0,0263";"0,4071"
"0,3600";"0,0341";"0,0134";"18,0248";"0,0268";"0,4144"
"0,3660";"0,0347";"0,0136";"18,3262";"0,0273";"0,4214"
"0,3720";"0,0352";"0,0139";"18,6095";"0,0277";"0,4279"
"0,3780";"0,0357";"0,0141";"18,9481";"0,0282";"0,4356"
"0,3840";"0,0363";"0,0143";"19,3153";"0,0286";"0,4441"
"0,3900";"0,0367";"0,0146";"19,6887";"0,0292";"0,4527"
"0,3960";"0,0373";"0,0149";"20,0076";"0,0297";"0,4600"
"0,4020";"0,0378";"0,0151";"20,3342";"0,0302";"0,4675"
"0,4080";"0,0383";"0,0154";"20,7056";"0,0308";"0,4761"
"0,4140";"0,0388";"0,0156";"21,1009";"0,0312";"0,4851"
"0,4200";"0,0393";"0,0158";"21,4753";"0,0317";"0,4938"
"0,4260";"0,0397";"0,0161";"21,8682";"0,0322";"0,5028"
"0,4320";"0,0402";"0,0163";"22,2431";"0,0326";"0,5114"
"0,4380";"0,0407";"0,0165";"22,5624";"0,0331";"0,5187"
"0,4440";"0,0412";"0,0168";"22,8836";"0,0335";"0,5261"
"0,4500";"0,0417";"0,0170";"23,2043";"0,0340";"0,5335"
"0,4560";"0,0422";"0,0172";"23,4931";"0,0344";"0,5401"
"0,4620";"0,0427";"0,0175";"23,7516";"0,0349";"0,5461"
"0,4680";"0,0432";"0,0177";"24,0278";"0,0354";"0,5524"
"0,4740";"0,0437";"0,0180";"24,3265";"0,0359";"0,5593"
"0,4800";"0,0442";"0,0182";"24,6581";"0,0364";"0,5669"
"0,4860";"0,0447";"0,0184";"25,0116";"0,0368";"0,5751"
"0,4920";"0,0452";"0,0187";"25,3502";"0,0373";"0,5828"
"0,4980";"0,0457";"0,0189";"25,7002";"0,0378";"0,5909"
"0,5040";"0,0463";"0,0191";"26,0203";"0,0383";"0,5983"
