Tiempo;Desplazamiento;Desplazamiento por tracción;Fuerza;Deformación por tracción (Deformación 1);Esfuerzo de tracción
(s);(mm);(mm);(N);(%);(MPa)
"0,0000";"0,0121";"0,0000";"0,0331";"-0,0001";"0,0008"
"0,0060";"0,0121";"0,0000";"0,0103";"0,0000";"0,0002"
"0,0120";"0,0122";"0,0000";"0,0255";"0,0000";"0,0006"
"0,0180";"0,0123";"0,0000";"0,0345";"0,0001";"0,0008"
"0,0240";"0,0125";"0,0001";"0,0452";"0,0001";"0,0011"
"0,0300";"0,0127";"0,0000";"0,0811";"0,0001";"0,0019"
"0,0360";"0,0130";"0,0001";"0,0933";"0,0001";"0,0022"
"0,0420";"0,0134";"0,0001";"0,1770";"0,0002";"0,0042"
"0,0480";"0,0139";"0,0002";"0,3230";"0,0004";"0,0076"
"0,0540";"0,0145";"0,0003";"0,5335";"0,0006";"0,0126"
"0,0600";"0,0151";"0,0004";"0,8175";"0,0008";"0,0193"
"0,0660";"0,0156";"0,0006";"1,1424";"0,0012";"0,0269"
"0,0720";"0,0163";"0,0008";"1,5163";"0,0015";"0,0358"
"0,0780";"0,0169";"0,0009";"1,9383";"0,0019";"0,0457"
"0,0840";"0,0175";"0,0012";"2,4457";"0,0023";"0,0577"
"0,0900";"0,0182";"0,0014";"2,9837";"0,0028";"0,0704"
"0,0960";"0,0188";"0,0016";"3,5434";"0,0033";"0,0836"
"0,1020";"0,0194";"0,0019";"4,1350";"0,0038";"0,0975"
"0,1080";"0,0200";"0,0022";"4,7533";"0,0044";"0,1121"
"0,1140";"0,0206";"0,0025";"5,3813";"0,0050";"0,1269"
"0,1200";"0,0212";"0,0028";"6,0343";"0,0056";"0,1423"
"0,1260";"0,0218";"0,0031";"6,6943";"0,0061";"0,1579"
"0,1320";"0,0224";"0,0033";"7,3395";"0,0067";"0,1731"
"0,1380";"0,0230";"0,0036";"7,9641";"0,0072";"0,1879"
"0,1440";"0,0236";"0,0038";"8,6018";"0,0077";"0,2029"
"0,1500";"0,0242";"0,0041";"9,2084";"0,0082";"0,2172"
"0,1560";"0,0247";"0,0043";"9,7782";"0,0087";"0,2306"
"0,1620";"0,0253";"0,0046";"10,3608";"0,0092";"0,2444"
"0,1680";"0,0259";"0,0049";"10,9504";"0,0098";"0,2583"
"0,1740";"0,0264";"0,0051";"11,5311";"0,0102";"0,2720"
