Tiempo;Desplazamiento;Desplazamiento por tracción;Fuerza;Deformación por tracción (Deformación 1);Esfuerzo de tracción
(s);(mm);(mm);(N);(%);(MPa)
"0,0000";"0,0131";"0,0000";"0,1334";"0,0000";"0,0032"
"0,0060";"0,0131";"0,0000";"0,1834";"0,0000";"0,0045"
"0,0120";"0,0132";"0,0000";"0,2309";"0,0001";"0,0056"
"0,0180";"0,0133";"0,0000";"0,2578";"0,0000";"0,0063"
"0,0240";"0,0135";"0,0000";"0,2669";"0,0000";"0,0065"
"0,0300";"0,0137";"0,0000";"0,2745";"0,0000";"0,0067"
"0,0360";"0,0140";"0,0000";"0,3162";"0,0001";"0,0077"
"0,0420";"0,0145";"0,0001";"0,3686";"0,0002";"0,0090"
"0,0480";"0,0149";"0,0002";"0,4893";"0,0003";"0,0119"
"0,0540";"0,0154";"0,0003";"0,6646";"0,0005";"0,0162"
"0,0600";"0,0160";"0,0004";"0,8894";"0,0008";"0,0216"
"0,0660";"0,0166";"0,0005";"1,2123";"0,0010";"0,0295"
"0,0720";"0,0172";"0,0007";"1,6164";"0,0013";"0,0393"
"0,0780";"0,0178";"0,0009";"2,0827";"0,0017";"0,0507"
"0,0840";"0,0184";"0,0011";"2,6447";"0,0021";"0,0644"
"0,0900";"0,0191";"0,0013";"3,2352";"0,0026";"0,0787"
"0,0960";"0,0197";"0,0015";"3,8432";"0,0031";"0,0935"
"0,1020";"0,0203";"0,0018";"4,4659";"0,0036";"0,1087"
"0,1080";"0,0209";"0,0021";"5,1132";"0,0041";"0,1244"
"0,1140";"0,0215";"0,0023";"5,7962";"0,0046";"0,1410"
"0,1200";"0,0221";"0,0026";"6,4776";"0,0051";"0,1576"
"0,1260";"0,0228";"0,0028";"7,1382";"0,0057";"0,1737"
"0,1320";"0,0234";"0,0031";"7,7571";"0,0062";"0,1888"
"0,1380";"0,0239";"0,0034";"8,3690";"0,0067";"0,2036"
"0,1440";"0,0245";"0,0036";"9,0054";"0,0073";"0,2191"
"0,1500";"0,0252";"0,0039";"9,6592";"0,0078";"0,2350"
"0,1560";"0,0257";"0,0041";"10,3013";"0,0083";"0,2507"
"0,1620";"0,0263";"0,0044";"10,9030";"0,0088";"0,2653"
"0,1680";"0,0268";"0,0046";"11,4620";"0,0092";"0,2789"
"0,1740";"0,0274";"0,0049";"12,0170";"0,0097";"0,2924"
"0,1800";"0,0280";"0,0051";"12,5466";"0,0102";"0,3053"
"0,1860";"0,0284";"0,0053";"13,0839";"0,0107";"0,3184"
"0,1920";"0,0290";"0,0055";"13,6188";"0,0111";"0,3314"
"0,1980";"0,0295";"0,0058";"14,1706";"0,0115";"0,3448"
