Tiempo;Desplazamiento;Desplazamiento por tracción;Fuerza;Deformación por tracción (Deformación 1);Esfuerzo de tracción
(s);(mm);(mm);(N);(%);(MPa)
"0,0000";"0,0072";"0,0000";"0,0884";"0,0000";"0,0019"
"0,0060";"0,0072";"0,0000";"0,0673";"0,0000";"0,0014"
"0,0120";"0,0073";"0,0001";"0,0388";"0,0001";"0,0008"
"0,0180";"0,0074";"0,0001";"0,0358";"0,0001";"0,0008"
"0,0240";"0,0076";"0,0001";"0,0569";"0,0001";"0,0012"
"0,0300";"0,0079";"0,0001";"0,0685";"0,0002";"0,0015"
"0,0360";"0,0081";"0,0001";"0,1319";"0,0002";"0,0028"
"0,0420";"0,0086";"0,0002";"0,2228";"0,0004";"0,0048"
"0,0480";"0,0090";"0,0003";"0,3828";"0,0005";"0,0082"
"0,0540";"0,0095";"0,0004";"0,6740";"0,0007";"0,0145"
"0,0600";"0,0101";"0,0005";"1,0114";"0,0009";"0,0218"
"0,0660";"0,0107";"0,0006";"1,3366";"0,0012";"0,0288"
"0,0720";"0,0113";"0,0008";"1,6898";"0,0015";"0,0364"
"0,0780";"0,0119";"0,0009";"2,1017";"0,0019";"0,0452"
"0,0840";"0,0126";"0,0011";"2,5797";"0,0023";"0,0555"
"0,0900";"0,0132";"0,0013";"3,0908";"0,0027";"0,0665"
"0,0960";"0,0139";"0,0016";"3,5974";"0,0031";"0,0774"
"0,1020";"0,0145";"0,0018";"4,1070";"0,0037";"0,0884"
"0,1080";"0,0152";"0,0021";"4,6671";"0,0042";"0,1004"
"0,1140";"0,0158";"0,0024";"5,2742";"0,0048";"0,1135"
"0,1200";"0,0164";"0,0027";"5,8774";"0,0054";"0,1265"
"0,1260";"0,0170";"0,0030";"6,5112";"0,0060";"0,1401"
"0,1320";"0,0176";"0,0033";"7,1567";"0,0066";"0,1540"
"0,1380";"0,0182";"0,0036";"7,7927";"0,0071";"0,1677"
"0,1440";"0,0188";"0,0038";"8,3938";"0,0076";"0,1806"
"0,1500";"0,0193";"0,0041";"9,0064";"0,0081";"0,1938"
"0,1560";"0,0199";"0,0043";"9,6050";"0,0086";"0,2067"
"0,1620";"0,0204";"0,0045";"10,1909";"0,0091";"0,2193"
"0,1680";"0,0209";"0,0048";"10,7751";"0,0096";"0,2319"
"0,1740";"0,0215";"0,0050";"11,3358";"0,0100";"0,2439"
"0,1800";"0,0220";"0,0053";"11,8404";"0,0105";"0,2548"
"0,1860";"0,0226";"0,0055";"12,2936";"0,0110";"0,2645"
"0,1920";"0,0231";"0,0058";"12,7327";"0,0115";"0,2740"
"0,1980";"0,0236";"0,0060";"13,2076";"0,0120";"0,2842"
"0,2040";"0,0242";"0,0062";"13,7044";"0,0124";"0,2949"
"0,2100";"0,0247";"0,0064";"14,1875";"0,0129";"0,3053"
"0,2160";"0,0253";"0,0067";"14,6965";"0,0133";"0,3162"
"0,2220";"0,0258";"0,0069";"15,2147";"0,0138";"0,3274"
"0,2280";"0,0263";"0,0072";"15,7493";"0,0143";"0,3389"
"0,2340";"0,0268";"0,0074";"16,2731";"0,0148";"0,3502"
"0,2400";"0,0273";"0,0076";"16,7959";"0,0153";"0,3614"
"0,2460";"0,0278";"0,0079";"17,3093";"0,0158";"0,3725"
"0,2520";"0,0283";"0,0081";"17,7979";"0,0162";"0,3830"
"0,2580";"0,0288";"0,0083";"18,2765";"0,0166";"0,3933"
"0,2640";"0,0292";"0,0085";"18,7524";"0,0169";"0,4035"
"0,2700";"0,0297";"0,0087";"19,2216";"0,0173";"0,4136"
"0,2760";"0,0303";"0,0088";"19,7043";"0,0177";"0,4240"
"0,2820";"0,0307";"0,0090";"20,1974";"0,0181";"0,4346"
"0,2880";"0,0312";"0,0092";"20,6598";"0,0184";"0,4446"
"0,2940";"0,0318";"0,0094";"21,1014";"0,0189";"0,4541"
"0,3000";"0,0322";"0,0097";"21,5571";"0,0193";"0,4639"
"0,3060";"0,0327";"0,0099";"21,9896";"0,0198";"0,4732"
"0,3120";"0,0333";"0,0101";"22,4068";"0,0202";"0,4822"
"0,3180";"0,0337";"0,0103";"22,7954";"0,0207";"0,4905"
"0,3240";"0,0343";"0,0106";"23,1842";"0,0211";"0,4989"
"0,3300";"0,0348";"0,0108";"23,6202";"0,0215";"0,5083"
"0,3360";"0,0354";"0,0110";"24,0857";"0,0220";"0,5183"
"0,3420";"0,0359";"0,0112";"24,5302";"0,0224";"0,5278"
"0,3480";"0,0364";"0,0114";"24,9723";"0,0228";"0,5374"
"0,3540";"0,0369";"0,0116";"25,4459";"0,0232";"0,5475"
"0,3600";"0,0374";"0,0118";"25,9272";"0,0236";"0,5579"
"0,3660";"0,0378";"0,0120";"26,4076";"0,0240";"0,5682"
"0,3720";"0,0384";"0,0122";"26,8702";"0,0244";"0,5782"
"0,3780";"0,0388";"0,0124";"27,3327";"0,0249";"0,5881"
"0,3840";"0,0393";"0,0126";"27,7880";"0,0253";"0,5979"
"0,3900";"0,0398";"0,0129";"28,2273";"0,0257";"0,6074"
