Tiempo;Desplazamiento;Desplazamiento por tracción;Fuerza;Deformación por tracción (Deformación 1);Esfuerzo de tracción
(s);(mm);(mm);(N);(%);(MPa)
"0,0000";"0,0050";"0,0000";"0,1670";"-0,0001";"0,0037"
"0,0060";"0,0050";"0,0000";"0,0911";"0,0000";"0,0020"
"0,0120";"0,0051";"0,0000";"0,0068";"0,0000";"0,0002"
"0,0180";"0,0053";"0,0000";"-0,0116";"0,0000";"-0,0003"
"0,0240";"0,0055";"0,0000";"-0,0015";"0,0001";"0,0000"
"0,0300";"0,0057";"0,0001";"-0,0169";"0,0001";"-0,0004"
"0,0360";"0,0061";"0,0001";"0,0185";"0,0002";"0,0004"
"0,0420";"0,0065";"0,0002";"0,0600";"0,0003";"0,0013"
"0,0480";"0,0069";"0,0002";"0,1357";"0,0005";"0,0030"
"0,0540";"0,0074";"0,0003";"0,2816";"0,0006";"0,0062"
"0,0600";"0,0080";"0,0004";"0,5007";"0,0009";"0,0110"
"0,0660";"0,0086";"0,0006";"0,8613";"0,0011";"0,0190"
"0,0720";"0,0092";"0,0007";"1,2869";"0,0014";"0,0284"
"0,0780";"0,0099";"0,0009";"1,7689";"0,0018";"0,0390"
"0,0840";"0,0106";"0,0011";"2,2601";"0,0023";"0,0499"
"0,0900";"0,0112";"0,0014";"2,8103";"0,0028";"0,0620"
"0,0960";"0,0118";"0,0016";"3,4152";"0,0033";"0,0753"
"0,1020";"0,0124";"0,0019";"3,9741";"0,0038";"0,0877"
"0,1080";"0,0131";"0,0022";"4,5070";"0,0044";"0,0994"
"0,1140";"0,0137";"0,0025";"5,0327";"0,0049";"0,1110"
"0,1200";"0,0142";"0,0028";"5,5461";"0,0055";"0,1224"
"0,1260";"0,0148";"0,0031";"6,0379";"0,0061";"0,1332"
"0,1320";"0,0154";"0,0034";"6,4788";"0,0067";"0,1429"
"0,1380";"0,0160";"0,0036";"6,9428";"0,0073";"0,1532"
"0,1440";"0,0166";"0,0039";"7,4029";"0,0078";"0,1633"
"0,1500";"0,0171";"0,0042";"7,8485";"0,0083";"0,1732"
"0,1560";"0,0177";"0,0044";"8,2859";"0,0088";"0,1828"
"0,1620";"0,0182";"0,0047";"8,7420";"0,0094";"0,1929"
"0,1680";"0,0187";"0,0049";"9,1858";"0,0099";"0,2027"
"0,1740";"0,0193";"0,0052";"9,6439";"0,0103";"0,2128"
"0,1800";"0,0199";"0,0054";"10,1024";"0,0108";"0,2229"
"0,1860";"0,0205";"0,0057";"10,5510";"0,0114";"0,2328"
"0,1920";"0,0210";"0,0059";"11,0132";"0,0119";"0,2430"
"0,1980";"0,0215";"0,0062";"11,4585";"0,0124";"0,2528"
"0,2040";"0,0221";"0,0064";"11,9250";"0,0128";"0,2631"
"0,2100";"0,0226";"0,0066";"12,3571";"0,0132";"0,2726"
"0,2160";"0,0231";"0,0069";"12,7545";"0,0137";"0,2814"
"0,2220";"0,0236";"0,0071";"13,1268";"0,0142";"0,2896"
"0,2280";"0,0241";"0,0073";"13,4789";"0,0147";"0,2974"
"0,2340";"0,0246";"0,0075";"13,8664";"0,0151";"0,3059"
"0,2400";"0,0251";"0,0078";"14,2488";"0,0155";"0,3144"
"0,2460";"0,0256";"0,0079";"14,6986";"0,0159";"0,3243"
"0,2520";"0,0260";"0,0081";"15,1548";"0,0163";"0,3343"
"0,2580";"0,0265";"0,0083";"15,5779";"0,0166";"0,3437"
"0,2640";"0,0271";"0,0085";"15,9641";"0,0170";"0,3522"
"0,2700";"0,0276";"0,0087";"16,3156";"0,0175";"0,3600"
"0,2760";"0,0281";"0,0090";"16,6886";"0,0179";"0,3682"
"0,2820";"0,0286";"0,0092";"17,0823";"0,0184";"0,3769"
"0,2880";"0,0291";"0,0094";"17,4886";"0,0189";"0,3858"
"0,2940";"0,0297";"0,0097";"17,9097";"0,0194";"0,3951"
"0,3000";"0,0302";"0,0099";"18,3137";"0,0198";"0,4040"
"0,3060";"0,0307";"0,0101";"18,7099";"0,0202";"0,4128"
"0,3120";"0,0312";"0,0103";"19,0993";"0,0207";"0,4214"
"0,3180";"0,0317";"0,0106";"19,4541";"0,0211";"0,4292"
"0,3240";"0,0322";"0,0108";"19,8206";"0,0216";"0,4373"
"0,3300";"0,0327";"0,0110";"20,1898";"0,0220";"0,4454"
"0,3360";"0,0332";"0,0112";"20,5166";"0,0225";"0,4526"
"0,3420";"0,0337";"0,0114";"20,7934";"0,0229";"0,4587"
"0,3480";"0,0342";"0,0117";"21,0791";"0,0233";"0,4651"
"0,3540";"0,0347";"0,0119";"21,4649";"0,0238";"0,4736"
"0,3600";"0,0352";"0,0121";"21,8882";"0,0242";"0,4829"
"0,3660";"0,0357";"0,0123";"22,2786";"0,0247";"0,4915"
"0,3720";"0,0362";"0,0125";"22,6239";"0,0251";"0,4991"
"0,3780";"0,0366";"0,0128";"22,9666";"0,0255";"0,5067"
"0,3840";"0,0372";"0,0130";"23,3390";"0,0259";"0,5149"
"0,3900";"0,0377";"0,0132";"23,7064";"0,0263";"0,5230"
"0,3960";"0,0381";"0,0134";"24,1120";"0,0268";"0,5320"
"0,4020";"0,0386";"0,0136";"24,5029";"0,0273";"0,5406"
"0,4080";"0,0392";"0,0139";"24,8484";"0,0277";"0,5482"
"0,4140";"0,0396";"0,0141";"25,1927";"0,0282";"0,5558"
"0,4200";"0,0402";"0,0144";"25,5712";"0,0287";"0,5642"
"0,4260";"0,0407";"0,0146";"25,9516";"0,0291";"0,5725"
"0,4320";"0,0412";"0,0148";"26,3128";"0,0295";"0,5805"
"0,4380";"0,0417";"0,0150";"26,6781";"0,0299";"0,5886"
"0,4440";"0,0422";"0,0152";"27,0783";"0,0303";"0,5974"
"0,4500";"0,0427";"0,0154";"27,4699";"0,0308";"0,6060"
"0,4560";"0,0432";"0,0156";"27,8394";"0,0312";"0,6142"
"0,4620";"0,0437";"0,0158";"28,1666";"0,0317";"0,6214"
"0,4680";"0,0442";"0,0160";"28,5023";"0,0321";"0,6288"
"0,4740";"0,0447";"0,0162";"28,8992";"0,0325";"0,6376"
"0,4800";"0,0452";"0,0165";"29,2994";"0,0329";"0,6464"
"0,4860";"0,0456";"0,0167";"29,7197";"0,0334";"0,6557"
"0,4920";"0,0462";"0,0169";"30,1353";"0,0338";"0,6649"
"0,4980";"0,0467";"0,0171";"30,4916";"0,0342";"0,6727"
"0,5040";"0,0471";"0,0173";"30,8781";"0,0346";"0,6812"
"0,5100";"0,0477";"0,0175";"31,2228";"0,0350";"0,6888"
"0,5160";"0,0482";"0,0177";"31,5640";"0,0355";"0,6964"
"0,5220";"0,0486";"0,0180";"31,9089";"0,0359";"0,7040"
"0,5280";"0,0491";"0,0182";"32,2432";"0,0364";"0,7114"
