Tiempo;Desplazamiento;Desplazamiento por tracción;Fuerza;Deformación por tracción (Deformación 1);Esfuerzo de tracción
(s);(mm);(mm);(N);(%);(MPa)
"0,0000";"0,0197";"-0,0001";"0,0095";"-0,0002";"0,0002"
"0,0060";"0,0197";"-0,0001";"-0,0026";"-0,0002";"-0,0001"
"0,0120";"0,0198";"-0,0001";"-0,0548";"-0,0002";"-0,0014"
"0,0180";"0,0199";"-0,0001";"-0,0940";"-0,0001";"-0,0024"
"0,0240";"0,0201";"-0,0001";"-0,0499";"-0,0001";"-0,0013"
"0,0300";"0,0204";"0,0000";"0,0320";"-0,0001";"0,0008"
"0,0360";"0,0207";"0,0000";"0,1263";"0,0000";"0,0033"
"0,0420";"0,0211";"0,0000";"0,2564";"0,0001";"0,0066"
"0,0480";"0,0215";"0,0001";"0,4241";"0,0003";"0,0110"
"0,0540";"0,0221";"0,0002";"0,5983";"0,0005";"0,0155"
"0,0600";"0,0227";"0,0004";"0,8260";"0,0007";"0,0213"
"0,0660";"0,0232";"0,0005";"1,1594";"0,0011";"0,0300"
"0,0720";"0,0238";"0,0007";"1,5204";"0,0014";"0,0393"
"0,0780";"0,0245";"0,0009";"1,9453";"0,0017";"0,0503"
"0,0840";"0,0252";"0,0011";"2,4783";"0,0021";"0,0640"
"0,0900";"0,0258";"0,0013";"3,0061";"0,0025";"0,0777"
"0,0960";"0,0265";"0,0015";"3,5577";"0,0030";"0,0919"
"0,1020";"0,0271";"0,0018";"4,1552";"0,0036";"0,1074"
"0,1080";"0,0277";"0,0021";"4,7374";"0,0041";"0,1224"
"0,1140";"0,0283";"0,0023";"5,3084";"0,0047";"0,1372"
"0,1200";"0,0289";"0,0026";"5,8875";"0,0052";"0,1521"
"0,1260";"0,0295";"0,0029";"6,4884";"0,0058";"0,1677"
"0,1320";"0,0301";"0,0031";"7,0864";"0,0062";"0,1831"
"0,1380";"0,0306";"0,0033";"7,6816";"0,0067";"0,1985"
"0,1440";"0,0312";"0,0036";"8,2806";"0,0071";"0,2140"
"0,1500";"0,0318";"0,0038";"8,8182";"0,0076";"0,2279"
"0,1560";"0,0324";"0,0041";"9,3283";"0,0081";"0,2410"
"0,1620";"0,0329";"0,0043";"9,8316";"0,0086";"0,2541"
"0,1680";"0,0334";"0,0045";"10,3601";"0,0091";"0,2677"
"0,1740";"0,0340";"0,0048";"10,8973";"0,0095";"0,2816"
"0,1800";"0,0345";"0,0050";"11,3896";"0,0100";"0,2943"
"0,1860";"0,0351";"0,0052";"11,8562";"0,0105";"0,3064"
"0,1920";"0,0356";"0,0055";"12,3350";"0,0109";"0,3187"
"0,1980";"0,0362";"0,0057";"12,8021";"0,0114";"0,3308"
"0,2040";"0,0367";"0,0059";"13,2779";"0,0118";"0,3431"
"0,2100";"0,0372";"0,0062";"13,7355";"0,0123";"0,3549"
"0,2160";"0,0378";"0,0064";"14,1680";"0,0128";"0,3661"
"0,2220";"0,0382";"0,0066";"14,5821";"0,0133";"0,3768"
"0,2280";"0,0387";"0,0069";"15,0132";"0,0137";"0,3879"
"0,2340";"0,0392";"0,0071";"15,4521";"0,0141";"0,3993"
"0,2400";"0,0397";"0,0073";"15,9242";"0,0145";"0,4115"
"0,2460";"0,0402";"0,0075";"16,4053";"0,0149";"0,4239"
"0,2520";"0,0407";"0,0077";"16,8990";"0,0153";"0,4367"
"0,2580";"0,0412";"0,0079";"17,3363";"0,0157";"0,4480"
"0,2640";"0,0417";"0,0080";"17,7618";"0,0161";"0,4590"
"0,2700";"0,0423";"0,0082";"18,2006";"0,0165";"0,4703"
"0,2760";"0,0427";"0,0084";"18,5971";"0,0169";"0,4806"
"0,2820";"0,0432";"0,0087";"18,9955";"0,0173";"0,4909"
"0,2880";"0,0437";"0,0089";"19,3850";"0,0178";"0,5009"
"0,2940";"0,0442";"0,0091";"19,8214";"0,0182";"0,5122"
"0,3000";"0,0448";"0,0093";"20,2983";"0,0187";"0,5245"
"0,3060";"0,0453";"0,0096";"20,7690";"0,0191";"0,5367"
"0,3120";"0,0458";"0,0098";"21,2616";"0,0195";"0,5494"
"0,3180";"0,0463";"0,0100";"21,7124";"0,0200";"0,5611"
"0,3240";"0,0469";"0,0102";"22,1333";"0,0204";"0,5719"
"0,3300";"0,0474";"0,0104";"22,5577";"0,0209";"0,5829"
"0,3360";"0,0479";"0,0107";"23,0105";"0,0213";"0,5946"
"0,3420";"0,0484";"0,0109";"23,4738";"0,0217";"0,6066"
"0,3480";"0,0489";"0,0111";"24,0076";"0,0221";"0,6204"
"0,3540";"0,0493";"0,0112";"24,5324";"0,0225";"0,6339"
"0,3600";"0,0498";"0,0114";"25,0572";"0,0229";"0,6475"
"0,3660";"0,0503";"0,0116";"25,5754";"0,0233";"0,6609"
"0,3720";"0,0508";"0,0118";"26,0503";"0,0237";"0,6732"
"0,3780";"0,0513";"0,0121";"26,4768";"0,0241";"0,6842"
"0,3840";"0,0517";"0,0122";"26,8735";"0,0245";"0,6944"
"0,3900";"0,0523";"0,0124";"27,2672";"0,0249";"0,7046"
"0,3960";"0,0528";"0,0126";"27,6770";"0,0253";"0,7152"
"0,4020";"0,0532";"0,0129";"28,0426";"0,0257";"0,7246"
"0,4080";"0,0537";"0,0131";"28,3888";"0,0262";"0,7336"
"0,4140";"0,0542";"0,0133";"28,7368";"0,0265";"0,7426"
"0,4200";"0,0547";"0,0134";"29,1025";"0,0269";"0,7520"
"0,4260";"0,0553";"0,0136";"29,4828";"0,0273";"0,7618"
"0,4320";"0,0558";"0,0138";"29,8960";"0,0277";"0,7725"
"0,4380";"0,0564";"0,0140";"30,3366";"0,0281";"0,7839"
"0,4440";"0,0569";"0,0142";"30,7882";"0,0285";"0,7956"
"0,4500";"0,0574";"0,0144";"31,2461";"0,0289";"0,8074"
"0,4560";"0,0579";"0,0147";"31,7164";"0,0293";"0,8196"
"0,4620";"0,0584";"0,0149";"32,1826";"0,0297";"0,8316"
"0,4680";"0,0588";"0,0151";"32,6862";"0,0301";"0,8446"
"0,4740";"0,0593";"0,0153";"33,1631";"0,0305";"0,8569"
"0,4800";"0,0598";"0,0154";"33,6350";"0,0309";"0,8691"
"0,4860";"0,0603";"0,0156";"34,1034";"0,0312";"0,8812"
"0,4920";"0,0607";"0,0158";"34,5099";"0,0316";"0,8918"
"0,4980";"0,0613";"0,0160";"34,9053";"0,0320";"0,9020"
"0,5040";"0,0618";"0,0162";"35,3034";"0,0324";"0,9123"
"0,5100";"0,0622";"0,0164";"35,7203";"0,0328";"0,9230"
"0,5160";"0,0627";"0,0166";"36,1578";"0,0332";"0,9343"
"0,5220";"0,0633";"0,0168";"36,5896";"0,0336";"0,9455"
"0,5280";"0,0637";"0,0170";"37,0104";"0,0340";"0,9564"
